Timestamp,MemFree,Slab_Unreclaimable,Slab_Reclaimable,Frag_Index_Order_0,Frag_Index_Order_10,Context_Switches,Benchmark_Latency
2026-04-14T16:12:03.041153,171188,118100,35700,0.8602,0.8602,332318922,0.0
2026-04-14T16:12:05.042059,192948,118100,35700,0.8759,0.8759,332320554,0.0
2026-04-14T16:12:07.126232,200636,118004,35700,0.8801,0.8801,332322359,0.08158493041992188
2026-04-14T16:12:09.126948,123728,118164,35700,0.8612,0.8612,332423331,0.0
2026-04-14T16:12:11.127538,121248,118592,35700,0.8595,0.8595,332543037,0.0
2026-04-14T16:12:13.247842,109716,119016,35700,0.8587,0.8587,332649132,0.11393880844116211
2026-04-14T16:12:15.248452,121636,119220,35924,0.7754,0.7754,332760772,0.0
2026-04-14T16:12:17.248930,118880,119608,35924,0.7513,0.7513,332881913,0.0
2026-04-14T16:12:19.295683,112464,119876,35924,0.7806,0.7806,333001074,0.04454684257507324
2026-04-14T16:12:21.296161,116124,120092,35924,0.7233,0.7233,333123337,0.0
2026-04-14T16:12:23.296576,118444,120432,35924,0.77,0.77,333243391,0.0
2026-04-14T16:12:25.349478,115660,120536,35924,0.8296,0.8296,333365018,0.050336360931396484
2026-04-14T16:12:27.350121,107584,120816,35924,0.8491,0.8491,333484200,0.0
2026-04-14T16:12:29.350653,117948,121128,35924,0.8591,0.8591,333599338,0.0
2026-04-14T16:12:31.402622,117004,121420,35924,0.8592,0.8592,333713035,0.0490574836730957
2026-04-14T16:12:33.403140,116660,121692,35924,0.857,0.857,333829398,0.0
2026-04-14T16:12:35.403615,117048,121956,35924,0.8259,0.8259,333945412,0.0
2026-04-14T16:12:37.480281,112544,122232,35924,0.8618,0.8618,334061311,0.07450342178344727
2026-04-14T16:12:39.482770,143072,170160,35924,0.7151,0.7151,334209921,0.0
2026-04-14T16:12:41.485167,173588,170896,35924,0.6339,0.6339,334516463,0.0
2026-04-14T16:12:43.644016,264832,169440,35924,0.837,0.837,334811882,0.15141725540161133
2026-04-14T16:12:45.645840,279892,153556,35924,0.8268,0.8268,335154431,0.0
2026-04-14T16:12:47.647536,141056,166108,35924,0.7443,0.7443,335448697,0.0
2026-04-14T16:12:49.776577,265372,158904,35924,0.811,0.811,335744871,0.11895036697387695
2026-04-14T16:12:51.777888,130368,166516,35940,0.7282,0.7282,336051426,0.0
2026-04-14T16:12:53.779917,174512,165788,35940,0.796,0.796,336342326,0.0
2026-04-14T16:12:55.901151,238480,164316,35940,0.8037,0.8037,336631812,0.11391210556030273
2026-04-14T16:12:57.904421,153412,170068,35940,0.7047,0.7047,336940564,0.0
2026-04-14T16:12:59.905008,168596,168016,35940,0.7293,0.7293,337228510,0.0
2026-04-14T16:13:02.072804,263216,163516,35940,0.8092,0.8092,337513291,0.16256117820739746
2026-04-14T16:13:04.073595,157260,167064,35940,0.6862,0.6862,337804589,0.0
2026-04-14T16:13:06.075882,160400,170056,35940,0.6949,0.6949,338079252,0.0
2026-04-14T16:13:08.246810,238796,162456,35940,0.7978,0.7978,338356987,0.16317248344421387
2026-04-14T16:13:10.247723,342052,123316,35940,0.8598,0.8598,338431519,0.0
2026-04-14T16:13:12.248754,337304,123280,35940,0.8583,0.8583,338433905,0.0
2026-04-14T16:13:14.321334,437168,122920,35940,0.8886,0.8886,338435010,0.07003164291381836
2026-04-14T16:13:16.322612,414684,122920,35940,0.8826,0.8826,338436113,0.0
2026-04-14T16:13:18.323750,414084,122916,35940,0.8824,0.8824,338437669,0.0
2026-04-14T16:13:20.411944,421460,122916,35940,0.884,0.884,338441356,0.08451128005981445
2026-04-14T16:13:22.412772,364208,122876,35940,0.8847,0.8847,338446296,0.0
2026-04-14T16:13:24.413675,349584,122872,35940,0.8799,0.8799,338449760,0.0
2026-04-14T16:13:26.503347,359704,122872,35940,0.8829,0.8829,338452773,0.08583593368530273
2026-04-14T16:13:28.504424,342912,122856,35940,0.8776,0.8776,338456403,0.0
2026-04-14T16:13:30.505417,340832,122856,35940,0.8768,0.8768,338460090,0.0
2026-04-14T16:13:32.562515,375492,121984,35940,0.8882,0.8882,338463700,0.054697513580322266
2026-04-14T16:13:34.563411,362300,118060,35940,0.8841,0.8841,338471497,0.0
2026-04-14T16:13:36.564293,343020,118060,35940,0.8776,0.8776,338475272,0.0
2026-04-14T16:13:38.654768,315456,118056,35940,0.8582,0.8582,338478778,0.08734464645385742
2026-04-14T16:13:40.655934,357672,118048,35940,0.8755,0.8755,338482169,0.0
2026-04-14T16:13:42.656954,327448,118100,35940,0.8626,0.8626,338486781,0.0
2026-04-14T16:13:44.735531,360928,118100,35940,0.8635,0.8635,338489155,0.07626676559448242
2026-04-14T16:13:45.721649,326252,118100,35940,0.8485,0.8485,338491980,0.03995466232299805
2026-04-14T16:13:46.736275,687828,117748,35488,0.8869,0.8869,338494153,0.0
2026-04-14T16:13:48.742803,695880,117748,35488,0.8882,0.8882,338498006,0.0
2026-04-14T16:13:50.823138,662232,117512,35488,0.88,0.88,338503052,0.0781252384185791
2026-04-14T16:13:52.824171,660460,117508,35488,0.8796,0.8796,338507322,0.0
2026-04-14T16:13:53.589251,659336,117508,35488,0.8794,0.8794,338508787,0.07840442657470703
2026-04-14T16:13:54.824964,701620,117504,35488,0.8867,0.8867,338512078,0.0
2026-04-14T16:13:56.907108,697840,117504,35488,0.8861,0.8861,338515797,0.07969951629638672
