Timestamp,MemFree,Slab_Unreclaimable,Slab_Reclaimable,Slab_Active_Objs,Slab_Total_Objs,Frag_Index_Order_0,Frag_Index_Order_10,Context_Switches,Benchmark_Latency
2026-05-05T23:07:38.660470,446120,127080,93212,0,0,0.8287,0.8287,809401737,0.04046511650085449
2026-05-05T23:08:32.739197,841324,127096,93244,0,0,0.8647,0.8647,809488808,0.036286354064941406
2026-05-05T23:09:28.320419,1119780,127020,93012,0,0,0.8557,0.8557,809588799,0.0377650260925293
2026-05-05T23:09:40.385756,1095120,127004,93012,0,0,0.852,0.852,809607080,0.03962278366088867
2026-05-05T23:09:52.465400,1152876,127000,93012,0,0,0.8584,0.8584,809625177,0.03793644905090332
2026-05-05T23:31:54.275968,981236,126908,92032,0,0,0.8618,0.8618,810674291,0.03737378120422363
2026-05-05T23:32:06.352991,969084,126944,92032,0,0,0.8601,0.8601,810719662,0.04040098190307617
2026-05-05T23:32:18.411281,1019824,126956,92032,0,0,0.8702,0.8702,811094417,0.037756919860839844
2026-05-05T23:39:35.236949,826756,128944,92048,0,0,0.8523,0.8523,811551739,0.03900337219238281
2026-05-05T23:39:37.297582,784096,128944,92048,0,0,0.8439,0.8439,811554858,0.03600311279296875
2026-05-05T23:39:39.365503,716340,128944,92048,0,0,0.8292,0.8292,811558171,0.03645730018615723
2026-05-05T23:39:41.425010,666040,128944,92048,0,0,0.8159,0.8159,811561215,0.036828041076660156
2026-05-05T23:39:43.509759,543904,128912,92048,0,0,0.7749,0.7749,811567102,0.04828143119812012
2026-05-05T23:39:45.576541,236088,129564,92048,0,0,0.6834,0.6834,811617733,0.0377812385559082
2026-05-05T23:39:47.641470,196996,129508,92048,0,0,0.6335,0.6335,811621773,0.03843498229980469
2026-05-05T23:39:49.710499,127900,129668,92048,0,0,0.7838,0.7838,811627870,0.03768277168273926
2026-05-05T23:39:51.780672,150224,129672,92048,0,0,0.809,0.809,811632184,0.037264347076416016
2026-05-05T23:39:53.862823,137928,129672,92048,0,0,0.8761,0.8761,811635913,0.04703688621520996
2026-05-05T23:39:55.950334,89952,129668,92048,0,0,0.8251,0.8251,811641770,0.04912829399108887
2026-05-05T23:39:58.021205,85716,129564,92048,0,0,0.7948,0.7948,811645379,0.03960156440734863
2026-05-05T23:40:00.123429,119568,130888,92048,0,0,0.8611,0.8611,811678666,0.06768131256103516
2026-05-05T23:40:02.182758,138712,130800,91832,0,0,0.8466,0.8466,811683111,0.039141178131103516
2026-05-05T23:40:04.267848,92196,130800,91832,0,0,0.8458,0.8458,811686157,0.05957460403442383
2026-05-05T23:40:50.439885,820100,129272,91816,0,0,0.8397,0.8397,811774695,0.08852124214172363
2026-05-05T23:40:52.540718,803052,129272,91816,0,0,0.8466,0.8466,811777697,0.07684493064880371
2026-05-05T23:40:54.641410,729524,129256,91816,0,0,0.8372,0.8372,811781800,0.07978320121765137
2026-05-05T23:40:56.763519,680564,129224,91816,0,0,0.8255,0.8255,811784952,0.09298467636108398
2026-05-05T23:40:56.866366,874184,129224,91816,0,0,0.8646,0.8646,811785154,0.09006762504577637
2026-05-05T23:40:58.967857,820748,129224,91816,0,0,0.8553,0.8553,811788410,0.07727336883544922
2026-05-05T23:41:01.067629,781232,129224,91816,0,0,0.8479,0.8479,811791683,0.07668280601501465
2026-05-05T23:41:03.184306,716304,129224,91816,0,0,0.8341,0.8341,811794903,0.09014892578125
